"Total"	"GP-ID"	"DegBd-ID"	"Avg. Time GP"	"Avg. Time DegBd"	"HTC-ID"
"7"	2	1	1	0.147841	0.130238	2
"9"	6	4	5	0.70614975	0.1877506	5
"10"	8	7	7	0.688449142857143	0.170337142857143	7
"11"	22	13	13	0.946356615384615	0.171619846153846	16
"12"	30	19	25	1.10592142105263	0.191735	26
"13"	43	19	31	1.48431947368421	0.218166129032258	30
"14"	69	21	53	2.49070180952381	0.24047820754717	51
"15"	82	24	65	1.25261258333333	0.269758030769231	61
"16"	91	12	64	3.33676125	0.319194140625	63
"17"	106	5	75	1.270774	0.412753653333333	67
"18"	103	5	66	1.0898552	0.53754053030303	73
"19"	91	2	63	3.192076	0.719716253968254	58
"20"	100	0	68	NA	0.994133661764706	65
"21"	71	0	46	NA	1.53456008695652	51
"22"	56	0	39	NA	2.12514123076923	37
"23"	43	0	30	NA	1.73643996666667	27
"24"	26	0	18	NA	3.3620145	18
"25"	18	0	10	NA	3.806673	13
"26"	11	0	6	NA	5.091995	8
"27"	10	0	8	NA	3.9651325	6
"28"	5	0	3	NA	4.69852766666667	2
"29"	4	0	0	NA	NA	2
"31"	3	0	1	NA	8.43703	1
